START graph_IMDB_MULTI_pagerank_curriculum: Sun 21 Jun 2026 01:15:49 AM CST
COMMAND: /root/miniconda3/envs/graphmae/bin/python main_graph.py --dataset IMDB-MULTI --device 0 --use_cfg --mask_strategy pagerank_curriculum --pagerank_mask_ratio 0.20 --pagerank_mask_steps 5 --pagerank_iters 20 --pagerank_damping 0.85 --seeds 0 1 2 3 4 5
2026-06-21 01:15:53,072 - INFO - Using best configs
------ Use best configs ------
Namespace(activation='prelu', alpha_l=1, attn_drop=0.1, batch_size=32, concat_hidden=False, dataset='IMDB-MULTI', decoder='gin', deg4feat=False, degree_mask_power=1.0, degree_mask_ratio=0.3, device=0, drop_edge_rate=0.0, encoder='gin', in_drop=0.2, linear_prob=True, load_model=False, logging=False, loss_fn='sce', lr=0.00015, lr_f=0.001, mask_rate=0.5, mask_strategy='pagerank_curriculum', max_epoch=50, max_epoch_f=30, negative_slope=0.2, norm='batchnorm', num_heads=2, num_hidden=512, num_layers=3, num_out_heads=1, optimizer='adam', pagerank_damping=0.85, pagerank_iters=20, pagerank_mask_ratio=0.2, pagerank_mask_steps=5, pooling='mean', replace_rate=0.0, residual=False, save_model=False, scheduler=False, seeds=[0, 1, 2, 3, 4, 5], structmae_beta=0.25, structmae_damping=0.85, structmae_iters=20, structmae_score='pagerank', use_cfg=True, warmup_steps=-1, weight_decay=0.0, weight_decay_f=0.0)
Using degree as node features
******** # Num Graphs: 1500, # Num Feat: 177, # Num Classes: 3 ********
####### Run 0 for seed 0

  0%|          | 0/50 [00:00<?, ?it/s]/root/miniconda3/envs/graphmae/lib/python3.8/site-packages/dgl/backend/pytorch/tensor.py:352: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  assert input.numel() == input.storage().size(), "Cannot convert view " \

Epoch 0 | train_loss: 0.5803:   0%|          | 0/50 [00:01<?, ?it/s]
Epoch 0 | train_loss: 0.5803:   2%|▏         | 1/50 [00:01<01:06,  1.36s/it]
Epoch 1 | train_loss: 0.3685:   2%|▏         | 1/50 [00:02<01:06,  1.36s/it]
Epoch 1 | train_loss: 0.3685:   4%|▍         | 2/50 [00:02<00:54,  1.13s/it]
Epoch 2 | train_loss: 0.3220:   4%|▍         | 2/50 [00:03<00:54,  1.13s/it]
Epoch 2 | train_loss: 0.3220:   6%|▌         | 3/50 [00:03<00:49,  1.05s/it]
Epoch 3 | train_loss: 0.2941:   6%|▌         | 3/50 [00:04<00:49,  1.05s/it]
Epoch 3 | train_loss: 0.2941:   8%|▊         | 4/50 [00:04<00:44,  1.04it/s]
Epoch 4 | train_loss: 0.2667:   8%|▊         | 4/50 [00:05<00:44,  1.04it/s]
Epoch 4 | train_loss: 0.2667:  10%|█         | 5/50 [00:05<00:44,  1.01it/s]
Epoch 5 | train_loss: 0.2553:  10%|█         | 5/50 [00:06<00:44,  1.01it/s]
Epoch 5 | train_loss: 0.2553:  12%|█▏        | 6/50 [00:06<00:44,  1.01s/it]
Epoch 6 | train_loss: 0.2489:  12%|█▏        | 6/50 [00:07<00:44,  1.01s/it]
Epoch 6 | train_loss: 0.2489:  14%|█▍        | 7/50 [00:07<00:43,  1.01s/it]
Epoch 7 | train_loss: 0.2387:  14%|█▍        | 7/50 [00:08<00:43,  1.01s/it]
Epoch 7 | train_loss: 0.2387:  16%|█▌        | 8/50 [00:08<00:42,  1.01s/it]
Epoch 8 | train_loss: 0.2304:  16%|█▌        | 8/50 [00:09<00:42,  1.01s/it]
Epoch 8 | train_loss: 0.2304:  18%|█▊        | 9/50 [00:09<00:44,  1.08s/it]
Epoch 9 | train_loss: 0.2174:  18%|█▊        | 9/50 [00:10<00:44,  1.08s/it]
Epoch 9 | train_loss: 0.2174:  20%|██        | 10/50 [00:10<00:45,  1.14s/it]
Epoch 10 | train_loss: 0.2183:  20%|██        | 10/50 [00:11<00:45,  1.14s/it]
Epoch 10 | train_loss: 0.2183:  22%|██▏       | 11/50 [00:11<00:45,  1.18s/it]
Epoch 11 | train_loss: 0.2047:  22%|██▏       | 11/50 [00:13<00:45,  1.18s/it]
Epoch 11 | train_loss: 0.2047:  24%|██▍       | 12/50 [00:13<00:45,  1.20s/it]
Epoch 12 | train_loss: 0.2047:  24%|██▍       | 12/50 [00:14<00:45,  1.20s/it]
Epoch 12 | train_loss: 0.2047:  26%|██▌       | 13/50 [00:14<00:45,  1.23s/it]
Epoch 13 | train_loss: 0.2069:  26%|██▌       | 13/50 [00:15<00:45,  1.23s/it]
Epoch 13 | train_loss: 0.2069:  28%|██▊       | 14/50 [00:15<00:44,  1.23s/it]
Epoch 14 | train_loss: 0.2018:  28%|██▊       | 14/50 [00:17<00:44,  1.23s/it]
Epoch 14 | train_loss: 0.2018:  30%|███       | 15/50 [00:17<00:43,  1.24s/it]
Epoch 15 | train_loss: 0.1923:  30%|███       | 15/50 [00:18<00:43,  1.24s/it]
Epoch 15 | train_loss: 0.1923:  32%|███▏      | 16/50 [00:18<00:41,  1.23s/it]
Epoch 16 | train_loss: 0.1895:  32%|███▏      | 16/50 [00:19<00:41,  1.23s/it]
Epoch 16 | train_loss: 0.1895:  34%|███▍      | 17/50 [00:19<00:39,  1.20s/it]
Epoch 17 | train_loss: 0.1861:  34%|███▍      | 17/50 [00:20<00:39,  1.20s/it]
Epoch 17 | train_loss: 0.1861:  36%|███▌      | 18/50 [00:20<00:38,  1.20s/it]
Epoch 18 | train_loss: 0.1806:  36%|███▌      | 18/50 [00:21<00:38,  1.20s/it]
Epoch 18 | train_loss: 0.1806:  38%|███▊      | 19/50 [00:21<00:37,  1.22s/it]
